"id" "period" "season" "sum_space_free" "sum_broken" "sum_total" "mean_predict_day_spaces_free" "perc_slot_free" "perc_broken_bikes" "name" "lat" "long" "total_station_size" "average_dist_bus" "bus_stops" "average_dist_school" "num_schools" "num_hosp" "departments" "average_dist_hosp" "num_mall" "average_dist_mall" "numb_shops_mall" "surface_mall" "average_surface" "average_dist_sale" "num_sale" "max_surface_sale" "mean_surface_sale" "min_surface_sale" "tot_surface_sales" "average_dist_open_air_market" "num_open_air_market" "max_days_open" "min_days_open" "mean_days_open" "tot_days_open" "max_total_places" "min_total_places" "mean_total_places" "tot_total_places" "stat_zone" "TOTALE" "Totale.stranieri" "perc_stranieri" "use"
"33" 9 "morning" "autumn" 910 78 1245 0.607080585625875 0.730923694779116 0.0626506024096386 "Bernini" 45.076155 7.655555 15 144.320391724 11 181.840885008 6 0 0 0 0 0 0 0 0 327.908637377 4 439 346 254 1386 0 0 0 0 0 0 0 0 0 0 "CAMPIDOGLIO" 14889 2154 0.144670562159984 1
"34" 9 "morning" "spring" 902 124 1380 0.523383482513431 0.653623188405797 0.0898550724637681 "Bernini" 45.076155 7.655555 15 144.320391724 11 181.840885008 6 0 0 0 0 0 0 0 0 327.908637377 4 439 346 254 1386 0 0 0 0 0 0 0 0 0 0 "CAMPIDOGLIO" 14889 2154 0.144670562159984 1
"35" 9 "afternoon" "summer" 994 61 1395 0.623465517216427 0.712544802867384 0.0437275985663082 "Bernini" 45.076155 7.655555 15 144.320391724 11 181.840885008 6 0 0 0 0 0 0 0 0 327.908637377 4 439 346 254 1386 0 0 0 0 0 0 0 0 0 0 "CAMPIDOGLIO" 14889 2154 0.144670562159984 1
"36" 9 "morning" "winter" 898 134 1335 0.482993568084551 0.672659176029963 0.100374531835206 "Bernini" 45.076155 7.655555 15 144.320391724 11 181.840885008 6 0 0 0 0 0 0 0 0 327.908637377 4 439 346 254 1386 0 0 0 0 0 0 0 0 0 0 "CAMPIDOGLIO" 14889 2154 0.144670562159984 1
"37" 10 "late" "autumn" 731 0 784 0.592812928698792 0.932397959183674 0 "Bertola" 45.06982 7.68231 14 165.832200403 17 70.2605383863 2 0 0 0 0 0 0 0 0 194.270968351 38 2033 579 284 22014 0 0 0 0 0 0 0 0 0 0 "MUNICIPIO" 9777 1716 0.175513961337834 1
"38" 10 "late" "spring" 1717 3 1890 0.524179474102526 0.908465608465608 0.00158730158730159 "Bertola" 45.06982 7.68231 14 165.832200403 17 70.2605383863 2 0 0 0 0 0 0 0 0 194.270968351 38 2033 579 284 22014 0 0 0 0 0 0 0 0 0 0 "MUNICIPIO" 9777 1716 0.175513961337834 1
"39" 10 "late" "summer" 366 0 378 0.61844803813805 0.968253968253968 0 "Bertola" 45.06982 7.68231 14 165.832200403 17 70.2605383863 2 0 0 0 0 0 0 0 0 194.270968351 38 2033 579 284 22014 0 0 0 0 0 0 0 0 0 0 "MUNICIPIO" 9777 1716 0.175513961337834 1
"40" 10 "late" "winter" 1024 11 1274 0.482710443608148 0.803767660910518 0.0086342229199372 "Bertola" 45.06982 7.68231 14 165.832200403 17 70.2605383863 2 0 0 0 0 0 0 0 0 194.270968351 38 2033 579 284 22014 0 0 0 0 0 0 0 0 0 0 "MUNICIPIO" 9777 1716 0.175513961337834 1
"41" 11 "late" "autumn" 1291 238 1830 0.610518302958644 0.705464480874317 0.130054644808743 "Bodoni" 45.06336 7.684215 15 257.457770986 18 0 0 0 0 0 1 308.847116997 25 8424 8424 261.922751894 24 4878 913 304 21912 0 0 0 0 0 0 0 0 0 0 "BORGO NUOVO" 5019 553 0.110181311018131 1
"42" 11 "late" "spring" 1360 181 2040 0.524269606603293 0.666666666666667 0.0887254901960784 "Bodoni" 45.06336 7.684215 15 257.457770986 18 0 0 0 0 0 1 308.847116997 25 8424 8424 261.922751894 24 4878 913 304 21912 0 0 0 0 0 0 0 0 0 0 "BORGO NUOVO" 5019 553 0.110181311018131 1
