,stop_id,stop_lat,stop_lon
1903,51761004,45.018609999999995,7.66295
1904,51783005,45.04241,7.662780000000001
1905,51823005,45.04456,7.664289999999999
1907,51862009,45.03078,7.66661
1908,51863005,45.10552,7.66413
1909,51877005,45.0675,7.665839999999999
1910,51892005,45.04915,7.66723
1911,51898003,45.08338,7.667160000000001
1913,51921008,45.06978,7.66405
1914,51974002,45.06432,7.6701
1915,51993002,45.10799,7.67001
1916,52018002,45.06284,7.67202
1917,52020002,45.095690000000005,7.6715
1918,52025008,45.0469,7.67288
1919,52035003,45.0823,7.67195
1920,52041003,45.06839,7.67318
1921,52053002,45.107690000000005,7.67315
1922,52081007,45.071220000000004,7.67523
1923,52086008,45.0617,7.65791
1924,52157003,45.03436,7.6799100000000005
1927,52055004,45.05833,7.67432
1928,52078004,45.0671,7.67536
1929,52085002,45.02349,7.67673
1930,52092004,45.060629999999996,7.67599
1931,52134004,45.0811,7.67775
1932,52197003,45.04422,7.68156
1933,52241002,45.09851,7.68353
1934,52246003,45.06058,7.68463
1935,52266004,45.10402,7.685560000000001
1936,52313007,45.06803,7.69021
1937,52360005,45.07054,7.693639999999999
1938,52362004,45.06252,7.69393
1939,52368004,45.090309999999995,7.69353
1940,52379004,45.10062,7.693789999999999
1941,52383002,45.093999999999994,7.6948300000000005
1942,52385003,45.06908,7.695360000000001
1943,52396007,45.09448,7.694780000000001
1945,52409004,45.06503,7.69683
1946,52443004,45.058820000000004,7.698810000000001
1948,52448003,45.066109999999995,7.69826
1949,52457003,45.06286,7.69915
1950,52460003,45.05028,7.69952
1951,52464004,45.071659999999994,7.698860000000001
1952,52474003,45.05068,7.700239999999999
1954,52581002,45.02959,7.70925
1957,51288006,45.03504,7.64308
1958,51306009,45.04553,7.64359
1959,51307006,45.042159999999996,7.64429
1963,51367006,45.08113,7.6452
1964,51396010,45.04732,7.64726
1965,51403007,45.03208,7.647710000000001
1966,51411011,45.0707,7.6470199999999995
1967,51455006,45.03557,7.6496
1968,51475006,45.02223,7.650510000000001
1970,51542009,45.088190000000004,7.6520399999999995
1971,51564010,45.025690000000004,7.65451
1972,51568007,45.041579999999996,7.65448
1973,51580007,45.05097,7.65451
1974,51580008,45.05109,7.654730000000001
1975,51600008,45.09197,7.65435
1976,51617006,45.04136,7.65654
1979,51680005,45.04371,7.65862
1980,51752006,45.046890000000005,7.66165
1981,51776005,45.022009999999995,7.662839999999999
1982,51815005,45.045609999999996,7.66401
1984,51902005,45.02851,7.668010000000001
1985,51904003,45.07416,7.666289999999999
1986,51955002,45.07431,7.66863
1988,51246009,45.01437,7.6376100000000005
1989,51253014,45.03609,7.64112
1990,51267005,45.051559999999995,7.6416699999999995
1991,51273007,45.0678,7.64142
1992,51274005,45.0607,7.64412
1993,51281010,45.02426,7.64319
1994,51326007,45.10351,7.64325
1995,51331006,45.0665,7.644589999999999
1996,51335006,45.060109999999995,7.6447899999999995
1997,51340007,45.06158,7.644889999999999
1998,51399010,45.05735,7.64712
1999,51420009,45.040890000000005,7.64813
2001,51446006,45.00913,7.65003
2002,51507006,45.09655,7.64995
2003,51508007,45.01532,7.65183
2004,51514006,45.02516,7.65194
2006,51552010,45.02039,7.65451
2007,51600007,45.091840000000005,7.65459
2008,51602005,45.06576,7.655310000000001
2009,51608008,45.070209999999996,7.65523
2010,51618005,45.0909,7.6554199999999994
2011,51630003,45.05279,7.6566600000000005
2013,51696005,45.04416,7.65936
2014,51748009,45.10025,7.660419999999999
2016,51826004,45.0991,7.66303
2018,51867004,45.05007,7.6658800000000005
2019,52068003,45.04633,7.674910000000001
2020,52070008,45.05381,7.675680000000001
2021,52136003,45.089459999999995,7.67705
2022,52137005,45.06385,7.67824
2023,52154002,45.01638,7.6802399999999995
2024,52158003,45.08932,7.67898
2025,52189003,45.09901,7.679860000000001
2026,52215003,45.051159999999996,7.682169999999999
2027,52242003,45.04326,7.684760000000001
2028,52255003,45.03474,7.68628
2029,52270004,45.0755,7.686719999999999
2030,52278004,45.10913,7.68628
2031,52304003,45.05867,7.690010000000001
2032,52312009,45.03306,7.690980000000001
2033,52330376,45.053129999999996,7.691789999999999
2034,52359004,45.08505,7.693230000000001
2035,52392003,45.06583,7.695689999999999
2036,52399003,45.102909999999994,7.69528
2038,52405003,45.106390000000005,7.69548
2039,52438003,45.0509,7.6986300000000005
2040,52447005,45.07669,7.69868
2042,52470003,45.097770000000004,7.69879
2043,52492003,45.08504,7.70097
2046,52540003,45.108579999999996,7.7046
2047,52547003,45.0528,7.7063
2048,52576003,45.08818,7.7079
2049,52580003,45.04804,7.70883
2050,51987003,45.005140000000004,7.672289999999999
2051,52003003,45.037690000000005,7.671810000000001
2052,52087003,45.07393,7.67545
2053,52109003,45.10457,7.67593
2054,52113005,45.06876,7.6765300000000005
2056,52146006,45.06276,7.679010000000001
2057,52212003,45.100970000000004,7.68094
2058,52213004,45.069959999999995,7.6813
2059,52236004,45.01116,7.68503
2060,52237004,45.03433,7.6847199999999996
2061,52255004,45.03456,7.68628
2062,52290003,45.05043,7.68812
2063,52346002,45.05344,7.693219999999999
2064,52354003,45.082809999999995,7.692810000000001
2065,52374004,45.06471,7.695810000000001
2066,52395003,45.06927,7.695289999999999
2067,52416004,45.042970000000004,7.69746
2068,52426002,45.03549,7.69849
2069,52438002,45.05113,7.69867
2070,52495005,45.10223,7.701060000000001
2071,52502004,45.040729999999996,7.70269
2072,52506010,45.04325,7.63399
2073,52563003,45.0719,7.707489999999999
2077,52621004,45.03247,7.7111600000000005
2079,52664003,45.04007,7.71386
2080,52671003,45.09132,7.713019999999999
2081,51389006,45.10029,7.6458
2082,51401012,45.04783,7.64739
2083,51421007,45.09523,7.64686
2084,51428005,45.06472,7.64802
2085,51444005,45.02189,7.650339999999999
2086,51446007,45.00904,7.6497
2087,51468007,45.10014,7.6486
2088,51483007,45.03153,7.65085
2090,51498010,45.05446,7.6508
2091,51504006,45.08563,7.650460000000001
2092,51504007,45.08526,7.650510000000001
2093,51516009,45.0308,7.65182
2094,51523005,45.01063,7.652810000000001
2095,51545007,45.075790000000005,7.6524600000000005
2096,51579005,45.10052,7.65337
2097,51605007,45.04125,7.65595
2098,51687004,45.0187,7.6597100000000005
2099,51691004,45.01243,7.659669999999999
2101,51732004,45.05215,7.660589999999999
2102,51739008,45.07459,7.66061
2103,51760006,45.01755,7.66251
2104,51774004,45.07632,7.66155
2105,51784005,45.06861,7.662310000000001
2106,51811006,45.09236,7.66264
2108,51815006,45.045390000000005,7.66425
2109,51816004,45.10624,7.6626199999999995
2110,51869007,45.01383,7.65941
2111,51886004,45.00892,7.66775
2114,51303005,45.03413,7.64377
2116,51329014,45.07557,7.64395
2118,51430006,45.01914,7.64912
2120,51439005,45.00507,7.649789999999999
2121,51443008,45.0107,7.64965
2122,51477008,45.08307,7.64952
2123,51487010,45.06439,7.650289999999999
2124,51487011,45.06455,7.65
2125,51515009,45.08015,7.65055
2127,51560007,45.02747,7.65419
2128,51563006,45.0149,7.654730000000001
2129,51602006,45.06576,7.655139999999999
2130,51624007,45.07966,7.655939999999999
2131,51629006,45.076679999999996,7.656060000000001
2132,51647005,45.03968,7.65746
2133,51672004,45.04079,7.658189999999999
2135,51737004,45.017920000000004,7.6616100000000005
2136,51737005,45.018209999999996,7.6619399999999995
2139,51759007,45.0181,7.66282
2140,51779004,45.018209999999996,7.662439999999999
2141,51782005,45.05142,7.662489999999999
2142,51794005,45.083909999999996,7.66229
2143,51553006,45.09578,7.65228
2144,51557008,45.071259999999995,7.65296
2145,51564009,45.025929999999995,7.65457
2146,51570007,45.02398,7.65487
2147,51603008,45.04099,7.6558399999999995
