"Anno";"CodiceIstatComune";"Comune";"DenominazioneCentro";"IndirizzoCentroCommerciale";"NumeroCivico";"NumeroEsercizidiVicinatosettoreAlimentarenelCentro";"NumeroEsercizidiVicinatosettoreNonalimentareNelcentro";"NumeroEsercizidiVicinatosettoreMistonelCentro";"NumeroTotaleesercizidiVicinatonelCentro";"SuperficieEsercizidiVicinatosettoreAlimentarenelCentro";"SuperficieEsercizidiVicinatosettoreNonalimentareNelcentro";"SuperficieEsercizidiVicinatosettoreMistonelCentro";"SuperficietotaleEsercizidiVicinatonelCentro";"NumeroMediestruttureSettorealimentareNelcentro";"NumeroMediestruttureSettorenonAlimentarenelCentro";"NumeroMediestruttureSettoremistoNelCentro";"NumerototalemedieStrutturenelCentro";"SuperficieMediestruttureSettorealimentareNelcentro";"SuperficieMediestruttureSettorenonAlimentarenelCentro";"SuperficieMediestruttureSettoremistoNelCentro";"SuperficietotaleMediestrutturenelCentro";"NumeroGrandistruttureSettorealimentareNelcentro";"NumeroGrandistruttureSettorenonAlimentarenelCentro";"NumeroGrandistruttureSettoremistoNelCentro";"NumerototalegrandistrutturenelCentro";"SuperficieGrandistruttureSettorealimentareNelcentro";"SuperficieGrandistruttureSettorenonAlimentarenelCentro";"SuperficieGrandistruttureSettoremistoNelCentro";"SuperficietotaleGrandistrutturenelCentro";"Numerototalestrutturesettorealimentare";"NumeroTotalestrutturesettorenonAlimentarenelCentro";"Numerototalestrutturesettoremisto";"NumeroTotalestrutturedelCentro";"SuperficietotaleStrutturesettorealimentarenelCentro";"SuperficietotaleStrutturesettoreNonalimentarenelCentro";"SuperficietotaleStrutturesettoreMistonelCentro";"SuperficietotaleStrutturedelCentro";"NumeroBarNelcentro";"NumeroRistorantinelCentro";"NumeroEdicolenelCentro";"NumeroRivenditegeneriDiMonopolionelCentro";"NumeroFarmacienelCentro";"NumeroDistributoridiCarburantenelCentro";""
"2014";" 001272 ";"TORINO";"CARREFOUR";"CORSO MONTE CUCCO";"108";"1";"7";"0";"8";"15";"247";"0";"262";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"7790";"7790";"1";"7";"1";"9";"15";"247";"7790";"8052";"1";".";".";"0";"0";"0";""
"2014";" 001219 ";"RIVOLI";"CENTRO COMMERCIALE AUCHAN";"C.SO SUSA";"301";"3";"28";"1";"32";"137";"1957";"50";"2144";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"5450";"5450";"3";"28";"2";"33";"137";"1957";"5500";"7594";"0";"1";"1";"1";"0";"0";""
"2014";" 001272 ";"TORINO";"E27";"CORSO REGINA MARGHERITA";"440";"0";"4";"0";"4";"0";"460";"0";"460";"0";"0";"1";"1";"0";"0";"612";"612";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"5";"0";"460";"612";"1072";"0";"3";"1";"0";"1";"0";""
"2014";" 001181 ";"PAVONE CANAVESE";"GALLERIE COMMERCIALI BENNET";"VIA CIRCONVALLAZIONE";"95";"0";"16";"0";"16";"0";"1199";"0";"1199";"0";"9";"0";"9";"0";"3072";"0";"3072";"0";"0";"1";"1";"0";"0";"6249";"6249";"0";"25";"1";"26";"0";"4271";"6249";"10520";"2";"1";"1";"1";"0";"0";""
"2014";" 001257 ";"SANTENA";"CENTRO COMMERCIALE LA CLESSIDRA";"VIA ASTI";"45";"0";"4";"0";"4";"0";"248";"0";"248";"0";"2";"1";"3";"0";"1096";"900";"1996";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"7";"0";"1344";"900";"2244";"1";"0";"0";"0";"0";"0";""
"2014";" 001272 ";"TORINO";"AREA 12 SHOPPING CENTER";"STRADA ALTESSANO";"41";"0";"40";"0";"40";"0";"3947";"0";"3947";"0";"5";"0";"5";"0";"5881";"0";"5881";"0";"0";"1";"1";"0";"0";"4500";"4500";"0";"45";"1";"46";"0";"9828";"4500";"14328";"0";"0";"0";"0";"0";"0";""
"2014";" 001156 ";"MONCALIERI";"LE PORTE DI MONCALIERI";"C.SO SAVONA";"";"0";"17";"1";"18";"0";"1892";"27";"1919";"0";"3";"0";"3";"0";"2155";"0";"2155";"0";"0";"1";"1";"0";"0";"7500";"7500";"0";"20";"2";"22";"0";"4047";"7527";"11574";"0";"1";"1";"0";"0";"0";""
"2014";" 001173 ";"OSASCO";"FG RETAIL OSASCO S.R.L.";"VIA PINEROLO";"13 D";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"230";"0";"230";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"230";"0";"230";"0";"0";"0";"0";"0";"0";""
"2014";" 001189 ";"PIANEZZA";"CENTRO COMMERCIALE ""SAN PANCRAZIO""";"VIA MUSINE";"18/20";"3";"3";"0";"6";"143";"150";"0";"293";"0";"0";"1";"1";"0";"0";"322";"322";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"1";"7";"143";"150";"322";"615";"1";"0";"1";"1";"0";"0";""
"2014";" 001272 ";"TORINO";"SNOS GALLERY CENTER";"CORSO MORTARA";"24";"0";"21";"2";"23";"0";"1694";"120";"1814";"0";"2";"2";"4";"0";"2900";"4057";"6957";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"4";"27";"0";"4594";"4177";"8771";"4";"2";"1";"0";"0";"0";""
