"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Comune";"Alessandria";"Bergamasco";"Via F. Cavallotti";"15";"1";"0060150001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Borghetto Di Borbera";"Via ROMA";"";"01";"0060180002";"Anno specificare";"Si";"1962";"No";"1";""
"Comune";"Alessandria";"Borgo San Martino";"Viale Don Bosco";"1";"2";"0060200002";"Anno specificare";"Si";"1995";"No";"1";""
"Comune";"Alessandria";"Bistagno";"VIA VIII MARZO";"15";"02";"0060170002";"Anno specificare";"Si";"1998";"No";"1";""
"Comune";"Alessandria";"Bassignana";"Via Della Vittoria";"19";"02AA";"0060130001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Capriata D'Orba";"Via Brizzolesi";"1 - 9";"1";"0060290001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Borgo San Martino";"Viale Don Bosco";"1 bis";"1";"0060200001";"Anno specificare";"Si";"1951";"No";"1";""
"Comune";"Alessandria";"Bosco Marengo";"Via Ghiare ";"1";"1";"0060210002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Bosco Marengo";"via donna";"4";"2";"0060210001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Bosio";"VIA RE UMBERTO I";"50";"01";"0060220001";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Alessandria";"Capriata D'Orba";"Via San Rocco";"1";"2";"0060290002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Carpeneto";"Via Giacomo Gualco";"19";"1";"0060330001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Carbonara Scrivia";"Via Tito Carbone";"26";"1";"0060300002";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Alessandria";"Carrosio";"Viale Rimembranza";"s.n.";"BM/01";"0060350002";"Anno specificare";"Si";"1962";"No";"1";""
"Comune";"Alessandria";"Carbonara Scrivia";"Piazza Mons. Goggi";"1";"2";"0060300001";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Alessandria";"Casale Monferrato";"Cantone Chiesa";"104/b";"12";"0060390005";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
