"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Provincia";"Biella";"Cavaglia'";"VIA GERSEN";"16";"PROVBI11B";"0960160004";"Anno specificare";"Si";"2002";"No";"1";""
"Provincia";"Cuneo";"Alba";"CORSO EUROPA";"2";"PROVCN7ALB";"0040030023";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"CORSO ENOTRIA";"2";"PROCN4ALBA";"0040030027";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"CORSO EUROPA";"2";"PROCN7BALB";"0040030035";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"VIA OSPEDALE";"1";"PROCN8ALB";"0040030036";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Bra";"VIA CARANDO ENNIO E ETTORE FRATELLI";"43";"PROCN4ABRA";"0040290022";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"VIA VITTORIO EMANUELE";"19";"PROCN3ALBA";"0040030025";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"Via ferrero";"20";"PROVCN6ALB";"0040030021";"Anno specificare";"Si";"1970";"No";"1";""
"Provincia";"Biella";"Trivero";"VIA ZEGNA";"59";"PROVBI14";"0960700008";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"VIA BALBO CESARE";"8";"PROVCN1BAL";"0040030022";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Bra";"PIAZZA ROMA";"7";"PRCN1BBRA";"0040290021";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"PIAZZETTA BUSSI NATALE MONSIGNORE";"1";"PROCN9ALB";"0040030037";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"PIAZZA SAN FRANCESCO D'ASSISI";"1";"PROVCN5ALB";"0040030024";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Barge";"PIAZZA STAZIONE";"3/a";"PROCN1BAR";"0040120011";"Anno specificare";"Si";"2010";"No";"1";""
"Provincia";"Cuneo";"Alba";"Via T.CALISSANO";"8";"PROCN2ALBA";"0040030026";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Biella";"Valle Mosso";"Regione Molina";"senza nume";"PROVBI12";"0960730008";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Bra";"PIAZZA ROMA";"7";"PRCN1ABRA";"0040290026";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Alba";"Via balbo";"8";"PROVCN1AAL";"0040030020";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Bra";"VIA SERRA PROSPERO";"9";"PROCN4CBRA";"0040290019";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Bra";"VIA CARANDO ENNIO E ETTORE FRATELLI";"43";"PROCN4BBRA";"0040290020";"Anno specificare";"Si";"1998";"No";"1";""
"Provincia";"Cuneo";"Bra";"VIALE RIMEMBRANZE";"19";"PROCN5BRA";"0040290039";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Bra";"VIA CRAVERI";"8";"PRCN3BBRA";"0040290023";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Bra";"Via CRAVERI";"8";"PRCN3ABRA";"0040290024";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Ceva";"PIAZZA GALLIANO GIUSEPPE";"3";"PROCN1ACEV";"0040660004";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Ceva";"PIAZZA GALLIANO GIUSEPPE";"3";"PROCN1BCEV";"0040660005";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"Corso De Gasperi";"11";"PROVCN7CN";"0040780014";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"CORSO BRUNET CARLO";"12";"PRCN4ACN";"0040780005";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cortemilia";"CORSO EINAUDI LUIGI";"12";"PROVCN1COR";"0040730002";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIA MONTE ZOVETTO";"8";"PR CN 9 CN";"0040780008";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"CORSO GIOLITTI GIOVANNI";"11";"PROVCN8ACN";"0040780007";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"CORSO DE GASPERI ALCIDE";"30";"PROCN6BCN";"0040780012";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIALE ANGELI";"12";"PROVCN5ACN";"0040780015";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"CORSO IV NOVEMBRE";"16";"PROVCN2CN";"0040780003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIA MAZZINI GIUSEPPE";"3";"PRCN11CN";"0040780001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIALE ANGELI";"12";"PROCN5BCN";"0040780006";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"CORSO GIOLITTI GIOVANNI";"11";"PROVCN8BCN";"0040780013";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"CORSO DE GASPERI ALCIDE";"30";"PROCN6ACN";"0040780011";"Anno specificare";"Si";"1970";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIA CACCIATORI DELLE ALPI";"2";"PROVCN3CN";"0040780010";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIA ROMA";"19";"PROVCN10CN";"0040780009";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIA SAVIGLIANO";"25";"PROV CN 1B";"0040780002";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Dronero";"VIA VALLE MAIRA";"19";"PRCN1BDRO";"0040820007";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Cuneo";"VIA SAVIGLIANO";"25";"PROVCN1ACN";"0040780004";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Fossano";"Piazza DON MARIO PICCO";"2/4";"PRCN4BFOSS";"0040890015";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Fossano";"Piazza DON MARIO PICCO";"6";"PRCN4AFOSS";"0040890016";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Fossano";"piazza bava";"2";"PROVCN4CFO";"0040890018";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Dronero";"VIA VALLE MAIRA";"19";"PRCN1ADRO";"0040820006";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Dronero";"VIA VALLE MAIRA";"19";"PRCN1CDRO";"0040820008";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Fossano";"LOCALITA' CUSSANIO";"13";"PROV CN 1";"0040890013";"Anno specificare";"Si";"1977";"No";"1";""
"Provincia";"Cuneo";"Fossano";"VIA SAN MICHELE";"68";"PROVCN2FOS";"0040890014";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA BONA GIOVANNI";"4";"PROV CN 3C";"0041300032";"Anno specificare";"Si";"1992";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA BONA GIOVANNI";"4";"PROV CN 3B";"0041300021";"Anno specificare";"Si";"1963";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"PIAZZA IV NOVEMBRE";"6";"PROCN6AMON";"0041300024";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Fossano";"VIA SAN GIOVANNI BOSCO";"29";"PROVCN3FOS";"0040890017";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"PIAZZA IV NOVEMBRE";"5";"PRCN2MOND";"0041300028";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Grinzane Cavour";"VIA BRICCO";"14";"PROVCN1GRI";"0041000002";"Anno specificare";"Si";"1973";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA BONA GIOVANNI";"4";"PROV CN 3A";"0041300033";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"PIAZZA IV NOVEMBRE";"4";"PROVCN8MON";"0041300026";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA CURAZZA";"15";"PROCN5BMON";"0041300022";"Anno specificare";"Si";"1974";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA CURAZZA";"15";"PROCN5AMON";"0041300031";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA MANERA NINO";"33";"PROCN4BMON";"0041300029";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA MANERA NINO";"33";"PROCN4AMON";"0041300030";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"Via E. TORTORA";"48";"PROCN7MON";"0041300025";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Neive";"VIA SAURO NAZARIO";"sn";"3N";"0041480007";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Saluzzo";"TRAVERSA QUARTIERE";"2";"PROVCN4SAL";"0042030016";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Saluzzo";"VIA CHIESA";"13 - 17";"PROVCN2SAL";"0042030017";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Neive";"VIA ROCCA";"10";"PROVCN1NEI";"0041480005";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Racconigi";"PIAZZA MUZZONE BARTOLOMEO";"6";"PROVCN1RAC";"0041790004";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Saluzzo";"REGIONE VIA DELLA CROCE";"54";"PROCN3BSAL";"0042030018";"Anno specificare";"Si";"2004";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA TORTORA ENZO";"33";"PRCN6BMOND";"0041300023";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Mondovi'";"VIA SCUOLE";"23";"PRCN1MOND";"0041300027";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Ormea";"VIALE NOVARO ANGELO SILVIO";"96";"PROVCN1ORM";"0041550002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Saluzzo";"Via Della Croce";"54/A";"PROCN3ASAL";"0042030015";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Saluzzo";"VIA DONAUDI";"24";"PROVCN5SAL";"0042030012";"Anno specificare";"Si";"1991";"No";"1";""
"Provincia";"Cuneo";"Saluzzo";"VIA SAN GIOVANNI";"1";"PROCN1ASAL";"0042030011";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Saluzzo";"Via DELLA CHIESA";"13";"PROCN6SALU";"0042030013";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Savigliano";"CORSO ROMA";"70";"PROVCN1SAV";"0042150010";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Savigliano";"PIAZZETTA BARALIS GIOVANNI";"4";"PROCN3BSAV";"0042150015";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Savigliano";"PIAZZA MISERICORDIA";"1";"PROCN2ASAV";"0042150012";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Verzuolo";"VIA DON ORIONE LUIGI";"6";"PROVCN2VER";"0042400006";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Savigliano";"PIAZZA MISERICORDIA";"1";"PROCN2BSAV";"0042150011";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Savigliano";"PIAZZETTA BARALIS GIOVANNI";"4";"PROCN3ASAV";"0042150013";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Verzuolo";"VIA IV NOVEMBRE";"30";"PROCN1AVER";"0042400007";"Anno specificare";"Si";"1963";"No";"1";""
"Provincia";"Cuneo";"Savigliano";"PIAZZETTA BARALIS GIOVANNI";"4";"PROCN3CSAV";"0042150016";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Arona";"Via MonTenero";"15";"003008NO31";"0030080002";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Cuneo";"Verzuolo";"VIA IV NOVEMBRE";"30";"PROCN1BVER";"0042400008";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Arona";"Via Montenero";"15";"003008NO30";"0030080001";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Gozzano";"VIA GENTILE GIACOMO FILIPPO";"33";"003076NO36";"0030760004";"Anno specificare";"Si";"1945";"No";"1";""
"Provincia";"Novara";"Gozzano";"via gentile";"33";"003076NO39";"0030760008";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Novara";"Gozzano";"Via Gentile";"33";"003076NO40";"0030760003";"Anno specificare";"Si";"1945";"No";"1";""
"Provincia";"Novara";"Borgomanero";"Via Aldo Moro";"13";"003024NO32";"0030240001";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Borgomanero";"VIALE DON MINZONI GIOVANNI";"5";"003024NO34";"0030240003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Novara";"Borgomanero";"VIALE DON MINZONI GIOVANNI";"5";"003024NO33";"0030240002";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Novara";"Lesa";"Corso Sempione";"150";"003083NO29";"0030840001";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Baluardo La Marmora";"12";"003106NO14";"0031060042";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"corso risorgimento";"405";"003106NO37";"0031060087";"Anno specificare";"Si";"2007";"No";"1";""
"Provincia";"Novara";"Novara";"Corso Risorgimento";"405";"003106NO05";"0031060064";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Corso Risorgimento";"405";"003106NO07";"0031060066";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Via Camoletti";"21";"003106NO12";"0031060044";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Corso Risorgimento";"405";"003106NO02";"0031060048";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Corso Risorgimento";"405";"003106NO04";"0031060051";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Corso Risorgimento";"405";"003106NO03";"0031060040";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Corso Risorgimento";"405";"003106NO06";"0031060047";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Via Collegio Gallarini";"s.n.c.";"003106NO22";"0031060057";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Curtatone";"1";"003106NO18";"0031060062";"Anno specificare";"Si";"1961";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Baluardo La Marmora";"10";"003106NO24";"0031060061";"Anno specificare";"Si";"1906";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Baluardo d'Azeglio";"3";"003106NO20";"0031060058";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Via Greppi";"18";"003106NO23";"0031060056";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Curtatone";"3";"003106NO16";"0031060065";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Curtatone";"3";"003106NO15";"0031060049";"Anno specificare";"Si";"1962";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Baluardo d'Azeglio";"3";"003106NO21";"0031060060";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Baluardo La Marmora";"8/C";"003106NO01";"0031060063";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Baluardo La Marmora";"10";"003106NO25";"0031060053";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"VIALE VERDI GIUSEPPE";"3/A";"003106NO26";"0031060055";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Via Ricci";"14";"003106NO11";"0031060050";"Anno specificare";"Si";"1999";"No";"1";""
"Provincia";"Novara";"Novara";"Via Liguria";"5";"003106NO08";"0031060046";"Anno specificare";"Si";"1956";"No";"1";""
"Provincia";"Novara";"Novara";"Via Liguria";"5";"003106NO09";"0031060054";"Anno specificare";"Si";"1988";"No";"1";""
"Provincia";"Novara";"Novara";"Viale Curtatone";"3";"003106NO17";"0031060059";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Via Ricci";"14";"003106NO10";"0031060045";"Anno specificare";"Si";"1974";"No";"1";""
"Provincia";"Novara";"Novara";"Via Toscana";"20";"003106NO13";"0031060043";"Anno specificare";"Si";"1994";"No";"1";""
"Provincia";"Novara";"Novara";"via rivolta";"4";"003106NO38";"0031060088";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Novara";"Novara";"Via S. Bernardino da Siena";"10";"003106NO19";"0031060041";"Anno specificare";"Si";"1975";"No";"1";""
"Provincia";"Torino";"Avigliana";"VIA NICOL GIOVANNI BATTISTA";"1";"PROVTO-60A";"0010130014";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Avigliana";"VIA NICOL GIOVANNI BATTISTA";"35";"PROVTO-59";"0010130008";"Anno specificare";"Si";"1975";"No";"1";""
"Provincia";"Novara";"Romentino";"Strada Provinciale per Novara";"4";"003131NO35";"0031310004";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Novara";"Romagnano Sesia";"PIAZZA XVI MARZO";"1";"003130NO28";"0031300004";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Torino";"Avigliana";"VIA NICOL GIOVANNI BATTISTA";"s.n.";"PROVTO-60";"0010130009";"Anno specificare";"Si";"1988";"No";"1";""
"Provincia";"Torino";"Bussoleno";"PIAZZA CAVALIERI DI VITTORIO VENETO";"5";"PROVTO-38";"0010440008";"Anno specificare";"Si";"1998";"No";"1";""
"Provincia";"Torino";"Avigliana";"VIA SANT'AGOSTINO";"35";"PROVTO-61";"0010130010";"Anno specificare";"Si";"1980";"No";"1";""
"Provincia";"Torino";"Caluso";"PIAZZA MAZZINI GIUSEPPE";"4";"PROVTO-115";"0010470007";"Anno specificare";"Si";"1972";"No";"1";""
"Provincia";"Torino";"Chivasso";"Via Paleologi";"22/1";"PROVTO-108";"0010820012";"Anno specificare";"Si";"1950";"No";"1";""
"Provincia";"Torino";"Carignano";"VIA FRICHERI GIUSEPPE SEBASTIANO";"23";"PROVTO-51";"0010580005";"Anno specificare";"Si";"1920";"No";"1";""
"Provincia";"Torino";"Chivasso";"Via Marconi";"6";"PROVTO-96";"0010820011";"Anno specificare";"Si";"1970";"No";"1";""
"Provincia";"Torino";"Carignano";"VIA FRICHERI GIUSEPPE SEBASTIANO";"23";"PROVTO-50";"0010580006";"Anno specificare";"Si";"1920";"No";"1";""
"Provincia";"Torino";"Caluso";"PIAZZA MAZZINI GIUSEPPE";"4";"PROVTO115A";"0010470011";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Torino";"Carmagnola";"VIALE GARIBALDI GIUSEPPE";"7";"PROVTO-75";"0010590017";"Anno specificare";"Si";"1963";"No";"1";""
"Provincia";"Torino";"Chieri";"Strada Pecetto";"34/4";"PROVTO-147";"0010780005";"Anno specificare";"Si";"1975";"No";"1";""
"Provincia";"Torino";"Carignano";"VIA VALDOCCO";"23";"PROVTO-49";"0010580004";"Anno specificare";"Si";"1920";"No";"1";""
"Provincia";"Torino";"Chieri";"Via Montessori";"2";"PROVTO-146";"0010780004";"Anno specificare";"Si";"1976";"No";"1";""
"Provincia";"Torino";"Castellamonte";"Via Trabucco";"2";"PROVTO-99";"0010660010";"Anno specificare";"Si";"1990";"No";"1";""
"Provincia";"Torino";"Castellamonte";"Via Pullino";"24";"PROVTO-98";"0010660009";"Anno specificare";"Si";"1960";"No";"1";""
"Provincia";"Torino";"Chieri";"via montessori";"4/6";"PROVTO140B";"0010780021";"Anno specificare";"Si";"2006";"No";"1";""
"Provincia";"Torino";"Carmagnola";"PIAZZA SANT'AGOSTINO";"24";"PROVTO-77";"0010590018";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Torino";"Chieri";"via montessori";"2";"PROVTO140C";"0010780022";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Chivasso";"Via Ajma";"12";"PROVTO-116";"0010820013";"Anno specificare";"Si";"1990";"No";"1";""
"Provincia";"Torino";"Chivasso";"Via Paleologi";"22/A";"PROVTO-97";"0010820014";"Anno specificare";"Si";"1930";"No";"1";""
"Provincia";"Torino";"Cirie'";"VIA PREVER VITTORIO DOTTORE";"13";"PROVTO-92";"0010860009";"Anno specificare";"Si";"1989";"No";"1";""
"Provincia";"Torino";"Cirie'";"VIA BATTITORE";"84";"PROVTO-93";"0010860010";"Anno specificare";"Si";"1980";"No";"1";""
"Provincia";"Torino";"Chieri";"VIA MONTESSORI MARIA";"4";"PROVTO-140";"0010780001";"Anno specificare";"Si";"1976";"No";"1";""
"Provincia";"Torino";"Carmagnola";"VIA SAN FRANCESCO DI SALES";"190";"PROVTO-76";"0010590019";"Anno specificare";"Si";"1993";"No";"1";""
"Provincia";"Torino";"Caluso";"VIA MONTELLO";"29";"PROVTO-105";"0010470006";"Anno specificare";"Si";"1980";"No";"1";""
"Provincia";"Torino";"Chieri";"via montessori";"4/6";"PROVTO140A";"0010780020";"Anno specificare";"Si";"2006";"No";"1";""
"Provincia";"Torino";"Collegno";"Via Torino";"9";"PROVTO-14";"0010900026";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Torino";"Giaveno";"Via Pacchiotti";"51";"PROVTO-66";"0011150010";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Provincia";"Torino";"Cirie'";"VIA SAN GIOVANNI BOSCO";"9";"PROVTO100A";"0010860015";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Grugliasco";"Via Crea";"30";"PROVTO-42";"0011200026";"Anno specificare";"Si";"1975";"No";"1";""
"Provincia";"Torino";"Cirie'";"VIA SAN GIOVANNI BOSCO";"17";"PROVTO-100";"0010860011";"Anno specificare";"Si";"1967";"No";"1";""
"Provincia";"Torino";"Giaveno";"Via Carducci";"4";"PROVTO-65";"0011150009";"Anno specificare";"Si";"1975";"No";"1";""
"Provincia";"Torino";"Cuorgne'";"Via XXIV Maggio";"13";"PROVTO-117";"0010980008";"Anno specificare";"Si";"1975";"No";"1";""
"Provincia";"Torino";"Cuorgne'";"via cappa";"11";"PROVTO-151";"0010980014";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Grugliasco";"Via Baracca";"76/86";"PROVTO-31";"0011200024";"Anno specificare";"Si";"1975";"No";"1";""
"Provincia";"Torino";"Cuorgne'";"via cappa";"12";"PROVTO151A";"0010980015";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Cirie'";"VIA SAN GIOVANNI BOSCO";"9";"PROVTO-102";"0010860012";"Anno specificare";"Si";"1969";"No";"1";""
"Provincia";"Torino";"Cuorgne'";"Via XXIV Maggio";"11";"PROVTO-118";"0010980011";"Anno specificare";"Si";"1955";"No";"1";""
"Provincia";"Torino";"Grugliasco";"CORSO ALLAMANO GIUSEPPE CANONICO";"120";"PROVTO-13";"0011200023";"Anno specificare";"Si";"1974";"No";"1";""
"Provincia";"Torino";"Ivrea";"Via Alberton E.";"10/a";"PROVTO-103";"0011250020";"Anno specificare";"Si";"1998";"No";"1";""
"Provincia";"Torino";"Ivrea";"Colle Bellavista";"s.n.";"PROVTO-109";"0011250018";"Anno specificare";"Si";"1955";"No";"1";""
"Provincia";"Torino";"Ivrea";"Colle Bellavista";"s.n.";"PROVTO109C";"0011250030";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Lanzo Torinese";"Via Tesso";"7";"PROVTO-81";"0011280002";"Anno specificare";"Si";"1990";"No";"1";""
"Provincia";"Torino";"Ivrea";"Via Dora Baltea";"3";"PROVTO-90A";"0011250031";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Ivrea";"Colle Bellavista";"s.n.";"PROVTO109A";"0011250028";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Provincia";"Torino";"Ivrea";"Via Dora Baltea";"3";"PROVTO-90";"0011250022";"Anno specificare";"Si";"1983";"No";"1";""
"Provincia";"Torino";"Moncalieri";"VIA NEGRI ADA";"14";"PROVTO-137";"0011560025";"Anno specificare";"Si";"1976";"No";"1";""
"Provincia";"Torino";"Ivrea";"Colle Bellavista";"s.n.";"PROVTO109B";"0011250029";"7 - dal 1976";"Si";"";"No";"1";""
"Provincia";"Torino";"Ivrea";"Corso Gallo";"37";"PROVTO-87";"0011250017";"Anno specificare";"Si";"1938";"No";"1";""
"Provincia";"Torino";"Ivrea";"Via Siccardi";"4";"PROVTO-88";"0011250021";"Anno specificare";"Si";"1600";"No";"1";""
"Provincia";"Torino";"Orbassano";"STRADA VOLVERA";"44";"PROVTO-78B";"0011710013";"Anno specificare";"Si";"1977";"No";"1";""
"Provincia";"Torino";"Moncalieri";"VIA PONCHIELLI AMILCARE";"16";"PROVTO-143";"0011560027";"Anno specificare";"Si";"1988";"No";"1";""
"Provincia";"Torino";"Nichelino";"Via XXV Aprile";"141";"PROVTO-139";"0011640020";"Anno specificare";"Si";"1984";"No";"1";""
