WKT_GEOM;ID_PISTA;BIDI;CIRCOSCRIZ;DATA_ESECU;DATA_ORDIN;DATA_RILIE;DENOMINAZI;DIREZIONE;DIREZIONE_;LOCALIZZAZ;LUNG_M;MONO;N_ORDINANZ;N_PROTOCOL;PUMS;RIFER_PIAN;RILIEVO_TR;SEGNALETIC;SEMAFORO;SEZIONE_M;STATO_CONS;TRACCIATO
LINESTRING (1393450.905006 4996279.753901,1392906.534164 4996342.942471,1392900.7064 4996341.598213,1392894.891511 4996346.318002,1392875.866665 4996349.078879);159;X;5;;20041007000000;;VIA DRUENTO;B;Bidirezionale;MARCIAPIEDE LATO SUD DELLA VIA;581;;0;0;X;4-V;;X;X;3;;DA STRADA ALTESSANO A GRANDE TORINO
LINESTRING (1398935.578388 4994249.488892,1398845.185129 4994309.490869,1398706.965539 4994402.678988,1398694.958805 4994410.050655,1398537.407029 4994515.964183,1398432.652477 4994587.561563,1398420.421642 4994600.682398,1398399.838771 4994620.397335,1398381.142577 4994634.62637,1398373.767088 4994633.940638,1398343.407303 4994654.341308,1398299.766214 4994680.489308,1398289.131732 4994688.203842,1398285.358185 4994695.404076,1398268.548796 4994696.946975,1398248.652019 4994709.804545,1398117.0156 4994797.654083,1398020.479088 4994863.449269,1397891.751396 4994949.938049,1397883.175195 4994958.338316,1397877.686382 4994959.366915,1397784.616652 4995021.910301,1397783.234302 4995026.581514,1397778.207421 4995056.963018);57;;6;;;;CORSO TARANTO;M;Monodirezionale;BANCHINA CENTRALE LATO SUD;1428;X;4607;509 P;X;3-V;;;;2;;DA PIAZZA DERNA A PIAZZA SOFIA
LINESTRING (1397324.982567 4995284.472612,1397336.191301 4995283.67235,1397392.635261 4995259.464546,1397406.846353 4995261.265142,1397414.852586 4995266.066674,1397437.771144 4995260.48728);59;X;6;;;;PIAZZA REBAUDENGO;B;Bidirezionale;AREE ATTREZZATE CENTRO PIAZZA;120;;4697;521 P;;2-V;;;;3;;ATTRAVERSAMENTO PIAZZA
LINESTRING (1394155.376081 4989743.037387,1394161.732494 4989760.355972,1394165.135063 4989770.403905,1394185.240535 4989763.107501,1394194.455576 4989780.929795,1394202.473788 4989772.796154,1394224.885594 4989752.086654,1394230.989037 4989761.775308,1394268.590445 4989825.959521,1394291.235156 4989868.860107,1394294.466379 4989883.931302,1394303.35297 4989908.894941,1395038.147817 4991309.945958);11;X;1;;;;CORSO DUCA DEGLI ABRUZZI;B;Bidirezionale;LATO EST DEL CORSO;1871;;2625;287 P;;13-V;;;;3;;CORSO ROSSELLI/CORSO VITTORIO EMANUELE II
LINESTRING (1394847.716814 4991638.966923,1395070.730562 4992073.236287);156;X;3;;;;CORSO INGHILTERRA;B;Bidirezionale;LATO OVEST DELLA BANCHIA EST;488;;0;;;;;;;3;;DA VIA CERNAIA  A C.SO VITTORIO EMANUELE II
LINESTRING (1391786.749449 4987808.617894,1392864.557952 4987270.562425);157;X;10;;20081206000000;;COSRO TAZZOLI;B;Bidirezionale;BANCHINA CENTRALE;1205;;0;;;;;;;3;;DA PIAZZA CATTANEO A CORSO AGNELLI
LINESTRING (1396073.272832 4991674.75224,1395286.297528 4992078.174436);1;X;1;;;;VIA BERTOLA;B;Bidirezionale;LATO NORD DELLA CARREGGIATA;884;;1768;249 P;X;10-V;;X;X;3;;VIA SAN FRANCESCO D'ASSISI / PIAZZA XVIII DICEMBRE
LINESTRING (1395038.147817 4991309.945958,1395361.966495 4991927.849288);2;X;1;;;;CORSO VINZAGLIO;B;Bidirezionale;LATO OVEST DELLA BANCHIA EST;698;;2626;;;13-V;;;;3;;VIA CERNAIA - C.SO VITTORIO EMANUELE II
LINESTRING (1395128.658917 4991481.775209,1395708.591804 4991184.271815);3;X;1;;;;CORSO  MATTEOTTI;B;Bidirezionale;LATO SUD DELLA CARREGGIATA SUD;652;;3610;477 P;X;14-V;;X;;3;;CORSO VINZAGLIO - CORSO RE UMBERTO
LINESTRING (1394885.486841 4988866.394945,1395027.663571 4988744.419795,1395028.845576 4988731.89673);20;X;1;;;;CORSO BRAMANTE;B;Bidirezionale;MARCIAPIEDE NORD TRA VIA Z. ZINI E VIA G. BRUNO;200;;1165;127 P;;23-V;;;;3;;DA VIA G. BRUNO A VIA ZINI
LINESTRING (1394701.119756 4991169.932072,1395485.589936 4990765.668674);6;X;1;;;;CORSO STATI UNITI;B;Bidirezionale;BANCHINA NORD DEL CORSO;883;;1444;183 P;;84-V;;;;3;;CORSO CASTELFIDARDO/CORSO RE UMBERTO
LINESTRING (1397164.072123 4991083.322468,1396629.736764 4991378.433879);7;;1;;20081001000000;;VIA PRINCIPE AMEDEO;M;Monodirezionale;LATO SUD DELLA CARREGGIATA FINO A A.ALBERTINA E LATO NORD FINO A P.ZA C.ALBERTO;610;X;3742;495 P;;102-V;;;;2;;DA PIAZZA VITTORIO VENETO A PIAZZA CARLO ALBERTO
LINESTRING (1396221.880106 4991130.098052,1396667.342437 4990895.722395);8;;1;;20081001000000;;VIA CAVOUR;M;Monodirezionale;LATO NORD DELLA CARREGGIATA;503;X;4053;519 P;;103-V;;;;2;;DA VIA LAGRANGE A VIA ACCADEMIA ALB.
LINESTRING (1396221.880106 4991130.098052,1395808.896333 4991348.030408);9;;1;;20081001000000;;VIA ARCIVESCOVADO;M;Monodirezionale;LATO SUD DELLA CARREGGIATA;467;X;4055;521 P;;103-V;;;;2;;DA PIAZZA SOLFERINO A VIA LAGRANGE
LINESTRING (1396841.975764 4992069.855507,1396832.313891 4992057.066579,1396829.04105 4992045.491404,1396826.232169 4992030.392242,1396824.903679 4992015.815785,1396826.64267 4992004.223948,1396829.112765 4991991.729697,1396833.093705 4991980.638095,1396840.623028 4991966.439687,1396850.621643 4991951.823012,1396888.833876 4991894.778243,1396897.399934 4991876.741319,1396901.437618 4991858.323792,1396897.902527 4991837.924669,1396892.774942 4991820.993291,1396877.918297 4991799.487983,1396831.299503 4991766.624357,1396797.373183 4991759.308135,1396756.927911 4991757.965941,1396740.740804 4991756.413974,1396726.32767 4991752.86675,1396720.340668 4991744.663691);12;X;1;;;;VIALE PRIMO MAGGIO;B;Bidirezionale;LATO OVEST DELLA VIA;474;;4085;435 P;;9-V;;;;3;;DA CORSO REGINA MARGHERITA A PIAZZA CASTELLO
LINESTRING (1396447.570571 4991582.721881,1396397.776597 4991603.865934);13;;1;;;;VIA MONTE DI PIET·;M;Monodirezionale;LUNGO LATO NORD DA EST VERSO OVEST;54;X;1304;246 P;;;;;;2;;DA VIA ROMA A VIA VIOTTI ESCLUSA
LINESTRING (1396798.38548 4991564.877789,1396977.510868 4991463.50391);14;;1;;;;VIA VERDI;M;Monodirezionale;LATO NORD DEL MARCIAPIEDE SUD DA OVEST VERSO EST;206;X;4033;711 P;;;;;;2;;DA VIA VIRGINIO A VIA ROSSINI
LINESTRING (1396977.510868 4991463.50391,1397087.293351 4991401.702135);15;;1;;;;VIA VERDI;M;Monodirezionale;LATO SUD DELLA VIA DA OVEST VERSO EST;126;X;4488;588;;;;;;2;;DA  VIA ROSSINI A VIA MONTEBELLO
LINESTRING (1394099.306517 4989775.294963,1394099.164881 4989803.010885,1394084.684365 4989860.624827,1394076.614851 4989943.969242,1394076.614851 4989999.532185,1394085.816967 4990055.25993,1394098.216552 4990126.539135,1394132.868311 4990107.401856);16;X;1;;;;CORSO MEDITERRANEO;B;Bidirezionale;LATO OVEST DEL MARCIAPIEDE OVEST;395;;1930;387 P;;;;;;3;;DA BRETELLA TRA C.SO LIONE E C.SO MEDITERRANEO A LARGO ORBASSANO
LINESTRING (1395428.763846 4989946.512482,1395528.639179 4990069.525351,1395666.531534 4990329.720082,1395847.760658 4990681.384254);17;X;1;;20071206000000;;VIA SACCHI;B;Bidirezionale;LATO EST DELLA VIA;849;;2996;330 P;;62-V;;;;3;;DA CORSO SOMMEILLER A FRONTE VIA ASSIETTA
LINESTRING (1394046.169915 4988531.365939,1394386.983687 4989204.533847);21;X;2;;;;CORSO GALILEO FERRARIS;B;Bidirezionale;BANCHINA OVEST DEL CORSO;755;;3895;534 P;;65-V;;;;3;;DA CORSO SEBASTOPOLI A CORSO MONTE LUNGO
LINESTRING (1394033.835896 4989347.592462,1394375.42315 4989178.355913);22;X;2;;;;CORSO MONTE LUNGO;B;Bidirezionale;LATO SUD DEL CORSO;381;;3897;536 P;;65-V;;;;3;;DA CORSO IV NOVEMBRE A CORSO GALILEO FERRARIS
LINESTRING (1392983.549464 4988705.286763,1393097.445014 4988790.012351);25;X;2;;;;CORSO ORBASSANO;B;Bidirezionale;LATO NORD/OVEST DEL CORSO;142;;5054;561 P;;;;;;3;;DA VIA GRADISCA A VIA FILADELFIA
LINESTRING (1393097.445014 4988790.012351,1393147.817491 4988972.447879);26;X;2;;;;VIA GRADISCA;B;Bidirezionale;MARCIAPIEDE OVEST;189;;5053;560 P;;;;;;3;;DA CORSO SEBASTOPOLI A CORSO ORBASSANO
LINESTRING (1392163.26226 4989883.064759,1392391.928882 4990048.619379);27;X;2;;20061130000000;;VIA ARBE;B;Bidirezionale;MARCIAPIEDE SUD DELLA VIA;282;;427;49 P;;19-V;;;;0;;DA VIA TIRRENO A VIA GUIDO RENI
LINESTRING (1393611.694 4989949.704,1393617.052882 4989960.366601,1393628.224057 4989956.644816,1393632.479791 4989956.113127,1393634.341675 4989957.708155,1393634.873642 4989961.96163,1393633.05131 4989966.75328,1393657.163882 4989977.556699,1393667.474057 4989980.049768,1393683.438241 4989977.224266,1393692.085518 4989972.071891,1393701.065388 4989966.587083,1393705.721554 4989959.273993,1393707.852 4989952.094,1393708.194321 4989944.148463,1393707.429515 4989939.942857,1393722.718471 4989912.800664,1394037.396586 4989801.086371,1394039.781914 4989795.232504,1394043.555824 4989794.205415,1394051.792037 4989790.693111,1394062.468454 4989786.630907,1394070.11932 4989783.366891,1394075.833706 4989781.541171,1394080.404469 4989780.07857,1394090.434205 4989776.556764,1394099.441145 4989775.306494);39;X;3;;20041007000000;;CORSO ROSSELLI;B;Bidirezionale;BANCHINA CENTRALE DELLA VIA;577;;272;30 P;;35-V;;;;3;;DA PIAZZA MARMOLADA A C.SO ORBASSANO
LINESTRING (1391344.279447 4989533.426809,1391575.337179 4989514.887796,1391627.385 4989511.115,1391628.230407 4989531.356641,1392115.872091 4989489.422838);30;X;2;;20071206000000;;CORSO ALLAMANO;B;Bidirezionale;SULLA BANCHINA CENTRALE E LATO SUD DEL CORSO;794;;4540;616 P;;41-V;;;;3;;DA STRADA DEL BAROCCHIO A VIA GUIDO RENI
LINESTRING (1393260.74363 4988917.692711,1392115.872091 4989489.422838);31;X;2;;;;CORSO SEBASTOPOLI;B;Bidirezionale;SULLA BANCHINA CENTRALE DEL CORSO;1280;;4577;503 P;;41-V;;;;3;;DA VIA GUIDO RENI A CORSO ORBASSANO
LINESTRING (1392391.928882 4990048.619379,1392507.416572 4990015.131751);32;X;2;;;;VIA TIRRENO;B;Bidirezionale;LATO SUD DELLA VIA;120;;429;51 P;;63-V;;;;3;;DA CORSO SIRACUSA A VIA ARBE
