"","id_stazione","nome","observations","station_operation_days","avg_min_interval","sd_min_interval","max_min_interval","avg_available","avg_spaces","avg_total"
"73","3ab15eeb9edc09a6c6594bfde93194b8","Stati Uniti 1",1688,224.3825,179.976007109005,1.88014283334592,198.5,2.84123222748815,12.0521327014218,14.89336492891
"74","3bae7415d8eb21cd1144b69dc45f7f3b","Livorno",682,99.2142013888889,180.000537634409,3.82791010584089,196.85,7.16275659824047,6.97507331378299,14.1378299120235
"75","3c1c5c0914a37de93c7f62ffedfcfa93","Pietro Micca",684,99.212962962963,179.98287037037,4.2783975276209,198.816666666667,2.54678362573099,8.84356725146199,11.390350877193
"76","3ca8e1aa2c9f67c01d606ebe5b6d1c27","Galileo Ferraris 2",1688,224.3825,179.978070695103,1.88002857934042,198.483333333333,3.76777251184834,8.56457345971564,12.332345971564
"77","3cbdf6324a23e8291ff87f7e38e5dfb0","Torino Esposizioni",684,99.2136111111111,180.015009746589,4.14291449827362,195.733333333333,5.58333333333333,7.35380116959064,12.937134502924
"78","3d089e03c95741168193370cdd3cb994","Tortona",456,60.4662962962963,179.953472222222,2.37172693406643,198.5,0,0,0
"79","3ebabf483764faba24fdb48b7171f9b3","Dante",683,99.2140625,179.976988775012,3.95760344790476,196.6,4.61932650073206,4.15959004392387,8.77891654465593
"80","3efb6dc2caf480a9a866b8245bf5561e","Turati",1688,224.3825,179.97816943128,1.87983283318687,198.5,6.21504739336493,7.26362559241706,13.478672985782
"81","3f07426ae5c0ea43a8feae264c10bf0d","Castelfidardo",1690,224.3825,179.980039447732,1.87897376165006,198.483333333333,2.21538461538462,15.2461538461538,17.4615384615385
"82","41e2bbbe98e07770f0fef01e3f8cb91f","Umbria",681,99.214212962963,179.981106216349,3.86367726099117,196.866666666667,4.66519823788546,3.1424375917768,7.80763582966226
"83","43303e15a7af6712542939953a33f5bc","Giardini Cavour",1690,224.3825,179.97641025641,1.88310161855616,198.5,7.38579881656805,5.37455621301775,12.7603550295858
"84","43d87906a933d45831102fb24d127f19","Spezia 1",1692,224.3825,179.980929866036,1.87855682803753,198.483333333333,9.60520094562648,7.18144208037825,16.7866430260047
"85","44f0d7cd1a80641e5efcb16e15870c9f","Castello 2",682,99.2134953703704,179.998411534702,4.1174331015188,195.783333333333,4.7316715542522,15.5190615835777,20.2507331378299
"86","474ebf1a9f3bd0b94bbd1edcf4f31329","Belgio 2",1684,224.3825,179.980106888361,1.88150793473209,198.483333333333,10.2250593824228,3.89429928741093,14.1193586698337
"87","4857953654e96658febd72bc5af8bc5d","Giordano Bruno",684,99.2133101851852,180.000901559454,4.18942564233812,196.466666666667,6.72953216374269,12.0087719298246,18.7383040935673
"88","4867e03cce4df98f29ce107d36a7d946","Orbassano",679,99.2136689814815,180.026656848306,4.12953548915373,195.766666666667,7.40500736377025,8.14432989690722,15.5493372606775
"89","4881a69c1d531ca10fe33f067806a36a","Bava",1688,224.3825,179.975572669826,1.87905113550591,198.5,8.95082938388626,6.93898104265403,15.8898104265403
"90","48ed2e628860d3c692cfff62d3b3c23f","De Amicis",684,99.2135648148148,180.02007797271,4.19767434202101,195.75,6.1359649122807,7.35672514619883,13.4926900584795
"91","4d061bbd664b065900293c31abcdc405","Piazza Nizza",1686,224.3825,179.980001977066,1.88065680980444,198.483333333333,6.36358244365362,12.6631079478055,19.0266903914591
"92","4e8a8ea53e1bdcb4c9d92999c66a77e9","Politecnico 2",684,99.2138657407407,180.011013645224,4.14849700194161,196.25,3.06432748538012,12.2441520467836,15.3084795321637
