"Anno","Provincia","Comune","Grado Scolastico","Conta","Num. Tot Sezioni","Num Tot Maschi","Num Tot Femmine","Totale","Conta","Tot Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr. T","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr.","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr."
"2010-2011","ALESSANDRIA","CASSINELLE","2 - Scuola primaria","0","","","","","1","5","17","22","39","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLAZZO BORMIDA","1 - Scuola dell'infanzia","1","4","57","47","104","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLAZZO BORMIDA","2 - Scuola primaria","0","","","","","1","10","96","99","195","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLAZZO BORMIDA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","9","98","78","176","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLETTO D'ORBA","1 - Scuola dell'infanzia","1","2","32","20","52","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLETTO D'ORBA","2 - Scuola primaria","0","","","","","1","5","30","39","69","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLETTO D'ORBA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","29","22","51","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLETTO MONFERRATO","1 - Scuola dell'infanzia","1","2","27","12","39","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELLETTO MONFERRATO","2 - Scuola primaria","0","","","","","1","5","30","25","55","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELNUOVO SCRIVIA","1 - Scuola dell'infanzia","1","6","72","71","143","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELNUOVO SCRIVIA","2 - Scuola primaria","0","","","","","1","10","103","111","214","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASTELNUOVO SCRIVIA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","8","91","92","183","0","","","",""
"2010-2011","ALESSANDRIA","CELLA MONTE","1 - Scuola dell'infanzia","1","2","24","28","52","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CERRINA MONFERRATO","1 - Scuola dell'infanzia","1","3","51","37","88","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CERRINA MONFERRATO","2 - Scuola primaria","0","","","","","1","5","57","30","87","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CERRINA MONFERRATO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","39","52","91","0","","","",""
"2010-2011","ALESSANDRIA","CONZANO","1 - Scuola dell'infanzia","1","2","26","16","42","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CONZANO","2 - Scuola primaria","0","","","","","1","5","21","18","39","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CREMOLINO","1 - Scuola dell'infanzia","1","1","12","16","28","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CREMOLINO","2 - Scuola primaria","0","","","","","1","5","22","16","38","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FELIZZANO","1 - Scuola dell'infanzia","1","2","29","29","58","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FELIZZANO","2 - Scuola primaria","0","","","","","1","5","49","46","95","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FELIZZANO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","64","84","148","0","","","",""
"2010-2011","ALESSANDRIA","FRANCAVILLA BISIO","1 - Scuola dell'infanzia","1","1","7","10","17","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRANCAVILLA BISIO","2 - Scuola primaria","0","","","","","1","5","8","10","18","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRASSINELLO MONFERRATO","2 - Scuola primaria","0","","","","","1","5","17","16","33","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRASSINETO PO","1 - Scuola dell'infanzia","1","1","12","16","28","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRASSINETO PO","2 - Scuola primaria","0","","","","","1","5","19","19","38","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRESONARA","1 - Scuola dell'infanzia","1","1","14","12","26","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRESONARA","2 - Scuola primaria","0","","","","","1","5","9","8","17","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRUGAROLO","1 - Scuola dell'infanzia","1","2","22","26","48","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FRUGAROLO","2 - Scuola primaria","0","","","","","1","5","30","32","62","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FUBINE","1 - Scuola dell'infanzia","1","2","23","30","53","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FUBINE","2 - Scuola primaria","0","","","","","1","5","34","35","69","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","FUBINE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","23","21","44","0","","","",""
"2010-2011","ALESSANDRIA","GABIANO","1 - Scuola dell'infanzia","1","2","25","30","55","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GABIANO","2 - Scuola primaria","0","","","","","1","5","22","28","50","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GAMALERO","1 - Scuola dell'infanzia","1","2","23","20","43","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GARBAGNA","1 - Scuola dell'infanzia","1","1","13","12","25","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GARBAGNA","2 - Scuola primaria","0","","","","","1","5","19","18","37","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GAVI","1 - Scuola dell'infanzia","1","3","33","36","69","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GAVI","2 - Scuola primaria","0","","","","","1","10","73","95","168","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GAVI","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","8","71","91","162","0","","","",""
"2010-2011","ALESSANDRIA","GIAROLE","1 - Scuola dell'infanzia","1","1","13","8","21","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GREMIASCO","1 - Scuola dell'infanzia","1","1","14","6","20","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","GRONDONA","2 - Scuola primaria","0","","","","","1","5","5","5","10","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ISOLA SANT'ANTONIO","1 - Scuola dell'infanzia","1","1","15","7","22","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ISOLA SANT'ANTONIO","2 - Scuola primaria","0","","","","","1","5","12","8","20","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","LERMA","1 - Scuola dell'infanzia","1","1","6","12","18","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","LU","1 - Scuola dell'infanzia","1","1","14","10","24","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","LU","2 - Scuola primaria","0","","","","","1","5","29","14","43","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MASIO","1 - Scuola dell'infanzia","1","1","18","10","28","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MASIO","2 - Scuola primaria","0","","","","","1","5","27","29","56","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MELAZZO","1 - Scuola dell'infanzia","1","1","13","13","26","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MELAZZO","2 - Scuola primaria","0","","","","","1","5","28","26","54","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MIRABELLO MONFERRATO","1 - Scuola dell'infanzia","1","1","12","12","24","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MIRABELLO MONFERRATO","2 - Scuola primaria","0","","","","","1","5","23","29","52","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MOLARE","1 - Scuola dell'infanzia","1","3","35","31","66","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MOLARE","2 - Scuola primaria","0","","","","","1","5","35","40","75","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MOLARE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","5","40","40","80","0","","","",""
"2010-2011","ALESSANDRIA","MOLINO DEI TORTI","1 - Scuola dell'infanzia","1","1","14","10","24","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MOLINO DEI TORTI","2 - Scuola primaria","0","","","","","1","5","16","12","28","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MOMBELLO MONFERRATO","2 - Scuola primaria","0","","","","","1","5","14","25","39","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MONTALDO BORMIDA","1 - Scuola dell'infanzia","1","2","15","10","25","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MONTECHIARO D'ACQUI","1 - Scuola dell'infanzia","1","1","11","14","25","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MONTECHIARO D'ACQUI","2 - Scuola primaria","0","","","","","1","5","11","18","29","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MORANO SUL PO","1 - Scuola dell'infanzia","1","1","11","15","26","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MORANO SUL PO","2 - Scuola primaria","0","","","","","1","5","21","25","46","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","MORNESE","1 - Scuola dell'infanzia","1","1","11","19","30","0","","","","","0","","","","","0","","","",""
