"Anno";"Provincia";"CodiceIstatComune";"Comune";"DenominazioneEsercizio";"Indirizzo";"Tipologia";"SettoreMerceologico";"SuperficieDiVenditaMq";"InseritoInCC";"NuovaApertura";"Cessazione";"AmpliamentoRiduzione";"Volturazione";""
"2014";"Torino";"1156";"MONCALIERI";"Demar s.r.l.";"strada Carpice 4";"M";"Non alimentare";"336";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"Demo s.p.a.";"corso Savona 10";"M";"Non alimentare";"549";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"VIA MONTEVERDI s.r.l.";"VIA POSTIGLIONE 1";"M";"Non alimentare";"495";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"S.S.C. SOCIETA' SVILUPPO COMMERCIALE S.R.L.";"C.SO SAVONA";"G";"Misto";"7500";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"CO.A.PI. SRL";"corso Savona 16";"M";"Misto";"663";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"TEXSTORE s.r.l.";"via Peschiera 17";"M";"Non alimentare";"440";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"G.J. STORE SRL";"via Martiri della Libert? 9";"M";"Non alimentare";"530";"NO";"0";"1";"0";"0";""
"2014";"Torino";"1160";"MONTALTO DORA";"MARUELLI DI MARUELLI   G. &  C.  s.a.s.";"VIA POLISEN 30";"M";"Non alimentare";"282";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1164";"NICHELINO";"NORAUTO ITALIA SRL";"Via Cacciatori 111";"M";"Non alimentare";"650";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1164";"NICHELINO";"BILLA AKTIENGESELL SCHAFT";"Via Avogadro 15";"M";"Misto";"678";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1164";"NICHELINO";"SVILUPPO DISCOUNT S.P.A.";"Piazza A. Moro 50";"M";"Misto";"600";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1164";"NICHELINO";"ANGOTTI FABRIZIO";"VIA SUPERGA 52";"M";"Misto";"300";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1164";"NICHELINO";"ORTOBRA SUPERFRESCHI S.R.L.";"VIA XXV APRILE ANG.V.PRUNOTTO 137";"M";"Misto";"399";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1171";"ORBASSANO";"G.S. S.p.A.";"Via Alfieri 19";"M";"Misto";"2000";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1171";"ORBASSANO";"Bricoman Italia S.r.l.";"Strada Torino 25/1";"G";"Non alimentare";"4500";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1175";"OULX";"GESCOM S.r.l. di ROTA Maurizio";"CORSO TORINO 118";"M";"Non alimentare";"500";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1181";"PAVONE CANAVESE";"DUEG s.r.l.";"VIA CIRCONVALLAZIONE 95/23";"M";"Non alimentare";"299";"SI";"0";"0";"0";"1";""
"2014";"Torino";"1181";"PAVONE CANAVESE";"MIROGLIO FASHION S.R.L.";"VIA CIRCONVALLAZIONE 95/22";"M";"Non alimentare";"180";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1082";"CHIVASSO";"RIALTO S.R.L.";"S.S.26 - VIA GOZZANO s.n.c.";"M";"Misto";"2500";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1086";"CIRIE'";"BENNET S.p.A.";"VIA BATTITORE 100";"M";"Non alimentare";"901";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1090";"COLLEGNO";"SCARPE E SCARPE S.P.A.";"Via Spagna 12";"M";"Non alimentare";"1246";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1110";"FROSSASCO";"CE.MA.F. di Pons Laura e c. s.n.c.";"VIA CASTELLO 6";"M";"Non alimentare";"239";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1120";"GRUGLIASCO";"F.LLI CAPUANO SRL";"VIA PEROTTI 117";"M";"Non alimentare";"418";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1120";"GRUGLIASCO";"ZARA ITALIA SRL";"VIA CREA 10  UO 123/124/208";"M";"Non alimentare";"1850";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1125";"IVREA";"S. A. R. C. SAS DI ARNINI SIMONA & C.";"VIA CASCINETTE 20";"M";"Misto";"352";"NO";"0";"0";"0";"0";""
