"id" "name" "lat" "long" "total_station_size" "average_dist_bus" "bus_stops" "average_dist_school" "num_schools" "num_hosp" "departments" "average_dist_hosp" "num_mall" "average_dist_mall" "numb_shops_mall" "surface_mall" "average_surface" "average_dist_sale" "num_sale" "max_surface_sale" "mean_surface_sale" "min_surface_sale" "tot_surface_sales" "average_dist_open_air_market" "num_open_air_market" "max_days_open" "min_days_open" "mean_days_open" "tot_days_open" "max_total_places" "min_total_places" "mean_total_places" "tot_total_places" "stat_zone" "TOTALE" "Totale.stranieri" "perc_stranieri"
"44" 44 "Fiume" 45.05803 7.693525 13 216.726169534 11 253.958824997 4 NA NA NA NA NA NA NA NA 172.307776376 6 1000 513 277 3083 NA NA NA NA NA NA NA NA NA NA "PIAZZA CRIMEA" 2100 180 0.0857142857142857
"45" 45 "Galileo Ferraris 1" 45.055305 7.663955 15 182.237981016 7 NA NA NA NA NA NA NA NA NA NA 265.43906468 1 331 331 331 331 NA NA NA NA NA NA NA NA NA NA "OSPEDALE MAURIZIANO" 6098 455 0.0746146277468022
"46" 46 "Galileo Ferraris 2" 45.056685 7.66447 13 251.370269152 13 342.807014405 2 NA NA NA NA NA NA NA NA 255.24193377 3 1200 777 331 2331 NA NA NA NA NA NA NA NA NA NA "CROCETTA" 13191 1276 0.0967326207262527
"47" 47 "Galileo Ferraris 3" 45.059595 7.66693 15 222.930711986 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "POLITECNICO" 5837 442 0.0757238307349666
"48" 48 "Galileo Ferraris 4" 45.06373 7.66944 24 217.243097443 19 NA NA NA NA NA NA NA NA NA NA 289.536255743 1 265 265 265 265 NA NA NA NA NA NA NA NA NA NA "POLITECNICO" 5837 442 0.0757238307349666
"49" 49 "Galileo Ferraris 5" 45.06682 7.671465 15 228.731207926 20 297.86081867 2 NA NA NA NA NA NA NA NA 247.708993107 4 590 404 260 1617 NA NA NA NA NA NA NA NA NA NA "COMANDI MILITARI" 5157 310 0.0601124684894318
"50" 50 "Galileo Ferraris 6" 45.04266 7.654895 18 228.499505768 10 NA NA 1 1 160.229216572 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "STADIO COMUNALE-PIAZZA D ARMI" 3122 236 0.0755925688661115
"51" 51 "Galimberti" 45.03308 7.656515 15 217.733905953 5 294.035785473 2 NA NA NA NA NA NA NA NA 283.988687187 5 715 494 255 2474 NA NA NA NA NA NA NA NA NA NA "MERCATI GENERALI" 21718 2923 0.134588820333364
"52" 52 "Gallo Praile" 45.11482 7.64131 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" 53 "Gerbido" 45.0444 7.61762 10 169.396644403 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" 54 "Giambone" 45.033055 7.647035 17 196.81507639 11 184.394746489 2 NA NA NA NA NA NA NA NA 168.341680967 1 290 290 290 290 NA NA NA NA NA NA NA NA NA NA "MERCATI GENERALI" 21718 2923 0.134588820333364
"55" 55 "Giardini Cavour" 45.06315 7.688885 15 254.334223629 17 111.120149932 2 NA NA NA NA NA NA NA NA 288.114958822 2 1000 651 302 1302 328.926937369 1 6 6 6 6 11 11 11 11 "PALAZZO CARIGNANO" 4184 305 0.0728967495219885
"56" 56 "Giolitti 1" 45.066485 7.683675 17 238.201740272 11 NA NA NA NA NA 1 76.2596010933 25 8424 8424 223.653622882 37 4878 762 284 28204 347.93187292 1 6 6 6 6 11 11 11 11 "P.ZZA S. CARLO-P.ZZA CARLO FELICE" 4001 375 0.0937265683579105
"57" 57 "Giolitti 2" 45.0641 7.69046 17 271.442575111 15 232.738628694 8 NA NA NA NA NA NA NA NA 279.858883521 5 1000 439 260 2196 288.078408841 1 6 6 6 6 11 11 11 11 "PIAZZA VITTORIO VENETO" 4699 435 0.0925728878484784
"58" 58 "Giordano Bruno" 45.04426 7.664095 20 216.461005661 10 NA NA NA NA NA NA NA NA NA NA 230.184929223 6 3037 1086 337 6519 NA NA NA NA NA NA NA NA NA NA "MERCATI GENERALI" 21718 2923 0.134588820333364
"59" 59 "Giulia di Barolo" 45.067405 7.6968 14 225.816160128 24 223.756706143 8 NA NA NA NA NA NA NA NA 246.890368446 5 520 359 253 1798 287.519799333 3 6 6 6 18 184 66 127 381 "PIAZZA VITTORIO VENETO" 4699 435 0.0925728878484784
"60" 60 "Gramsci" 45.0727 7.5803 6 134.895908256 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
