EnteDiCompetenza;Provincia;Comune;DenominazioneIndirizzo;Indirizzo;NumeroCivico;VIA;CodiceEdificioRilevazione;CodiceEdificioRegionePiemonte;AnnoDiCostruzione;AnnoDiCostruzioneSND;AnnoEsattoDiCostruzione;CopiaArchivioSiNo;ContaEdifici
Comune;Torino;Torino;Via Cardinal Massaia Guglielmo;VIA CARDINAL MASSAIA GUGLIELMO;113;VIA CARDINAL MASSAIA GUGLIELMO 113;05/107;12720068;Anno specificare;Si;1881;No;1
Comune;Torino;Torino;Via Cassini Giandomenico;VIA CASSINI GIANDOMENICO;98;VIA CASSINI GIANDOMENICO 98;01/008;12720122;Anno specificare;Si;1960;No;1
Comune;Torino;Torino;Via Cassini Giandomenico;VIA CASSINI GIANDOMENICO;94;VIA CASSINI GIANDOMENICO 94;01/015;12720288;Anno specificare;Si;1961;No;1
Comune;Torino;Torino;Via Carmine (del);VIA CARMINE (DEL);27;VIA CARMINE (DEL) 27;01/003;12720161;Anno specificare;Si;1887;No;1
Comune;Torino;Torino;Via Cimarosa;VIA CIMAROSA;85/1;VIA CIMAROSA 85/1;06/131;12720144;Anno specificare;Si;1986;No;1
Comune;Torino;Torino;Via Collegno Giacinto;VIA COLLEGNO GIACINTO;73;VIA COLLEGNO GIACINTO 73;03/059;12720040;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Via Collino Ignazio;VIA COLLINO IGNAZIO;12;VIA COLLINO IGNAZIO 12;02/028;12720291;Anno specificare;Si;1975;No;1
Comune;Torino;Torino;VIA CAVAGNOLO;VIA CAVAGNOLO;35;VIA CAVAGNOLO 35;06/124;12720094;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Cecchi Antonio;VIA CECCHI ANTONIO;16-18;VIA CECCHI ANTONIO 16-18;07/167;12720120;Anno specificare;Si;1979;No;1
Comune;Torino;Torino;Via Casteldelfino;VIA CASTELDELFINO;28/30;VIA CASTELDELFINO 28/30;05/097;12720065;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Via Castellino Onorato;VIA CASTELLINO ONORATO;10;VIA CASTELLINO ONORATO 10;03/061;12720151;Anno specificare;Si;1976;No;1
Comune;Torino;Torino;Via Chambery;VIA CHAMBERY;33;VIA CHAMBERY 33;03/046;12720208;Anno specificare;Si;1970;No;1
Comune;Torino;Torino;Via Catalani Alfredo;VIA CATALANI ALFREDO;4;VIA CATALANI ALFREDO 4;07/155;12720207;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Corelli Arcangelo;VIA CORELLI ARCANGELO;4;VIA CORELLI ARCANGELO 4;06/134;12720116;Anno specificare;Si;1969;No;1
Comune;Torino;Torino;Via Colombo Cristoforo;VIA COLOMBO CRISTOFORO;36;VIA COLOMBO CRISTOFORO 36;01/007;12720081;Anno specificare;Si;1902;No;1
Comune;Torino;Torino;Via Destefanis Giovanni;VIA DESTEFANIS GIOVANNI;20;VIA DESTEFANIS GIOVANNI 20;05/118;12720184;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Delleani Lorenzo;VIA DELLEANI LORENZO;25;VIA DELLEANI LORENZO 25;03/072;12720031;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Via D'Arborea Eleonora;VIA D'ARBOREA ELEONORA;9/a;VIA D'ARBOREA ELEONORA 9/a;02/029;12720047;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Via D'Albertis Luigi Maria;VIA D'ALBERTIS LUIGI MARIA;22;VIA D'ALBERTIS LUIGI MARIA 22;03/070;12720148;Anno specificare;Si;1964;No;1
Comune;Torino;Torino;Via Duchessa Iolanda;VIA DUCHESSA IOLANDA;29;VIA DUCHESSA IOLANDA 29;03/041;12720187;Anno specificare;Si;1905;No;1
Comune;Torino;Torino;Via Cossa Pietro;VIA COSSA PIETRO;115/21;VIA COSSA PIETRO 115/21;04/086;12720020;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Fiochetto Gianfrancesco;VIA FIOCHETTO GIANFRANCESCO;29;VIA FIOCHETTO GIANFRANCESCO 29;07/172;12720105;Anno specificare;Si;1966;No;1
Comune;Torino;Torino;Via Finalmarina;VIA FINALMARINA;5;VIA FINALMARINA 5;09/192;12720143;Anno specificare;Si;1921;No;1
Comune;Torino;Torino;Via Fossano;VIA FOSSANO;16;VIA FOSSANO 16;04/081BIS;12720295;Anno specificare;Si;1894;No;1
Comune;Torino;Torino;VIA FOSSANO;VIA FOSSANO;8;VIA FOSSANO 8;04/094;12720309;2 - nell'Ottocento;Si;;No;1
Comune;Torino;Torino;Via Fossano;VIA FOSSANO;16;VIA FOSSANO 16;04/081;12720139;Anno specificare;Si;1894;No;1
Comune;Torino;Torino;Via Foglizzo;VIA FOGLIZZO;15;VIA FOGLIZZO 15;05/100;12720192;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Fea Leonardo;VIA FEA LEONARDO;2;VIA FEA LEONARDO 2;05/098;12720297;Anno specificare;Si;1961;No;1
Comune;Torino;Torino;Via Garessio;VIA GARESSIO;24-mag;VIA GARESSIO 42514;09/193;12720030;Anno specificare;Si;2005;No;1
Comune;Torino;Torino;Via Gassino;VIA GASSINO;13;VIA GASSINO 13;07/157;12720097;Anno specificare;Si;1916;No;1
Comune;Torino;Torino;Via Germonio Anastasio;VIA GERMONIO ANASTASIO;4;VIA GERMONIO ANASTASIO 4;03/048;12720103;Anno specificare;Si;1964;No;1
Comune;Torino;Torino;Via Germonio Anastasio;VIA GERMONIO ANASTASIO;12;VIA GERMONIO ANASTASIO 12;03/049;12720193;Anno specificare;Si;1964;No;1
Comune;Torino;Torino;Via Galvani Luigi;VIA GALVANI LUIGI;7;VIA GALVANI LUIGI 7;04/082;12720070;Anno specificare;Si;1882;No;1
Comune;Torino;Torino;Via Gubbio;VIA GUBBIO;47;VIA GUBBIO 47;05/120;12720196;Anno specificare;Si;1976;No;1
