name;schools;school#;average;id;coord
San Maurizio;VIA S. OTTAVIO , VIA S. OTTAVIO , CORSO SAN MAURIZIO, CORSO SAN MAURIZIO;4;201.964183643;132;45.071934999999996, 7.69261
Gran Madre;VIA SANTAROSA SANTORRE, VIA SANTAROSA SANTORRE;2;227.727521877;61;45.062979999999996, 7.6985
San Francesco da Paola;"VIA ACCADEMIA ALBERTINA, VIA ACCADEMIA ALBERTINA, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO, VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO";12;249.869914639;130;45.068605, 7.689080000000001
CORSO ORBASSANO;CORSO TAZZOLI, CORSO TAZZOLI;2;244.562436925;-6;45.03454, 7.62073
VIALE DEI PARTIGIANI, VIA DENINA, LUNGODORA SIENA;"VIA FIOCHETTO GIANFRANCESCO, VIA FIOCHETTO GIANFRANCESCO, ""VIA GENE GIUSEPPE"", ""VIA GENE GIUSEPPE""";4;215.221855355;-2;45.074940000000005, 7.68756
Stati Uniti 1;CORSO DUCA DEGLI ABRUZZI (CORSO MONTEVECCHIO 67);1;170.32736987;139;45.064865000000005, 7.664785
Statuto 2;VIA PERRONE, VIA PERRONE, VIA JUVARRA, VIA JUVARRA, VIA CARMINE (DEL), VIA CARMINE (DEL);6;210.925675474;140;45.076245, 7.67166
CORSO SAN MAURIZIO E VANCHIGLIA;VIA S. OTTAVIO , VIA S. OTTAVIO , VIA BUNIVA MICHELE, VIA BUNIVA MICHELE, VIA GIULIA DI BAROLO , VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO , VIA GIULIA DI BAROLO, CORSO REGINA MARGHERITA, CORSO REGINA MARGHERITA;10;191.687348718;-3;45.07007, 7.697839999999999
Dora Firenze;"VIA GENE GIUSEPPE, ""VIA GENE GIUSEPPE""";2;339.535721077;37;45.07945, 7.689225
Galimberti;LARGO LA LOGGIA, LARGO LA LOGGIA;2;294.035785473;51;45.03308, 7.656515
Marconi 1;VIA GIACOSA GIUSEPPE;1;82.6988857925;76;45.05546, 7.68267
Corte d`Appello;VIA CITTADELLA, VIA CITTADELLA, VIA BLIGNY, VIA BLIGNY, VIA BELLEZIA GIAN FRANCESCO, VIA BELLEZIA GIAN FRANCESCO;6;218.359744255;32;45.0744, 7.67885
Mauriziano 2;VIA CASSINI GIANDOMENICO, VIA CASSINI GIANDOMENICO, VIA CASSINI GIANDOMENICO, VIA CASSINI GIANDOMENICO;4;331.183318442;82;45.05167, 7.663494999999999
Valdo Fusi;VIA MILLE (DEI), VIA MILLE (DEI);2;318.411052469;151;45.064665000000005, 7.6863
