name;average;max;mean;surface_sale;sale#;min;id;coord;sales
Bertola;194.270968351;2033;579;22014;38;284;10;45.06982, 7.68231;VIA G.L. LAGRANGE 10/G, PIAZZA S.CARLO 201, PIAZZA S.CARLO 204, PIAZZA S.CARLO 177, VIA M. VITTORIA 7/A, Via G.L. Lagrange 2/Q, PIAZZA S.CARLO 169, PIAZZA S.CARLO 176, PIAZZA S.CARLO 145, VIA ROMA 121, VIA ROMA 124, VIA S.TERESA 2/B, GALLERIA S. FEDERICO 46, VIA ROMA 112, VIA ROMA 95, VIA ROMA 77, VIA ROMA 80, VIA S.TERESA 14/B, VIA ROMA 53, VIA ROMA 58, VIA ROMA 54, VIA ROMA 56, VIA S.TERESA 19/F, VIA ROMA 33, VIA ROMA 38, VIA CESARE BATTISTI 1, VIA ACCADEMIA DELLE SCIENZE 4/C, VIA ROMA 5,  2, VIA PIETRO MICCA 22/F, PIAZZA CASTELLO 113, VIA PIETRO MICCA 12/A, VIA G. BARBAROUX 2/B, PIAZZA CASTELLO 139, PIAZZA CASTELLO 143, VIA GIUSEPPE GARIBALDI 3/B, VIA MERCANTI 17, VIA GIUSEPPE GARIBALDI 7
Vittorio Emanuele II 2;342.243870315;316;316;316;1;316;159;45.06755, 7.665805000000001;CORSO VINZAGLIO 19
Vittorio Emanuele II 3;220.831987089;590;406;2031;5;300;160;45.06454, 7.6738100000000005;VIA S.SECONDO 3/H, CORSO VITTORIO EMANUELE II 68/A, CORSO G. MATTEOTTI 15, CORSO G. MATTEOTTI 12/A, CORSO G. MATTEOTTI 25/E
Vittorio Emanuele II 4;226.052614427;3260;612;11016;18;259;161;45.061735, 7.6821;VIA SALUZZO 11/BIS, CORSO VITTORIO EMANUELE II IS 32/BIS/C, VIA GOITO 5, CORSO VITTORIO EMANUELE II 38, CORSO VITTORIO EMANUELE II 53, VIA CARLO ALBERTO 38/B, VIA G.L. LAGRANGE 40/A, VIA G.L. LAGRANGE 47, VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA G.L. LAGRANGE 45/C, PIAZZA CARLO FELICE 35, VIA ANDREA DORIA 13/C, VIA ANDREA DORIA 6/G, PIAZZA CARLO FELICE 15, VIA ROMA 365, VIA ROMA 376
Vittorio Emanuele II 5;241.899553133;594;406;3250;8;304;162;45.06061, 7.684455000000001;VIA BERNARDINO GALLIARI 27, CORSO VITTORIO EMANUELE II IS 32/BIS/C, VIA GOITO 5, CORSO VITTORIO EMANUELE II 38, VIA CARLO ALBERTO 38/B, VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9
Vittorio Emanuele II 6;279.442381551;1374;509;6620;13;300;163;45.063795, 7.676260000000001;CORSO VITTORIO EMANUELE II 53, VIA G.L. LAGRANGE 40/A, VIA S.SECONDO 3/H, PIAZZA CARLO FELICE 35, PIAZZA CARLO FELICE 15, CORSO VITTORIO EMANUELE II 68/A, VIA ROMA 365, VIA ROMA 376, VIA ROMA 360, VIA ROMA 354, VIA XX SETTEMBRE 19, CORSO G. MATTEOTTI 15, CORSO G. MATTEOTTI 12/A
Lagrange;189.390300949;4878;841;24410;29;259;64;45.06344, 7.68087;VIA SALUZZO 11/BIS, VIA GOITO 5, CORSO VITTORIO EMANUELE II 38, CORSO VITTORIO EMANUELE II 53, VIA CARLO ALBERTO 38/B, VIA G.L. LAGRANGE 40/A, VIA G.L. LAGRANGE 47, VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA G.L. LAGRANGE 45/C, PIAZZA CARLO FELICE 35, VIA ANDREA DORIA 13/C, VIA ANDREA DORIA 6/G, PIAZZA CARLO FELICE 15, VIA ROMA 365, VIA ROMA 376, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA BRUNO BUOZZI 5/C, VIA ROMA 305, VIA XX SETTEMBRE 19, VIA ROMA 294, VIA ROMA 287, VIA G.L. LAGRANGE 15, VIA G.L. LAGRANGE 15, VIA ROMA 282
Piazza Nizza;249.881973993;960;466;3264;7;252;103;45.051615000000005, 7.67435;VIA NIZZA 95, VIA G. DONIZETTI 4, VIA SALUZZO 75/G, CORSO RAFFAELLO 16, VIA MADAMA CRISTINA 66, VIA MADAMA CRISTINA 66, VIA NIZZA 53
Tortona;174.318396329;539;379;1896;5;271;144;45.071645000000004, 7.707644999999999;VIA A. FONTANESI 10, VIA ANDORNO 31, VIA COSSILA 2/E, VIA MONTALTO 3, CORSO TORTONA 30/C
Re Umberto 2;219.912407509;389;317;953;3;254;121;45.056020000000004, 7.6681;CORSO FILIPPO TURATI 12/B, VIA A. GENOVESI 2/A, CORSO G. SOMMEILLER 33/G
