id;name;mall#;average;malls;coord
Belgio 2;190.613700179;5;7;45.07327, 7.71714;52667004, 52674003, 52734002, 52734003, 52740001;
Vittorio Emanuele II 1;216.977418907;17;158;45.067005, 7.666639999999999;51872007, 57880002, 57880003, 57880004, 57880001, 51963003, 51963004, 56662003, 51877004, 51877005, 51888005, 56697002, 51894004, 51936003, 51941004, 51882006, 57071001;
Ferrucci;254.819079415;14;42;45.063845, 7.655815;51669007, 57194001, 52086008, 51611005, 51609006, 51535008, 51535007, 52163004, 51529006, 51541005, 54728001, 54727001, 51602006, 51602005;
O.G.R.;265.398315064;15;95;45.066655, 7.66182;52256004, 52163004, 57880002, 57880003, 57880004, 57880001, 51877004, 51877005, 54735001, 56697002, 56697001, 51784005, 51784006, 51720010, 51720005;
Lungo Po Cadorna;205.989945046;21;73;45.065490000000004, 7.69871;52434002, 52457003, 52459004, 52459003, 52414003, 56997001, 52374003, 52374004, 55580001, 52409004, 52409003, 52437002, 52392003, 52465003, 52448003, 52427003, 53715002, 52427002, 53715001, 52428002, 52493003;
San Maurizio;180.68052922;20;132;45.071934999999996, 7.69261;54753001, 52360005, 52360003, 52376002, 52360004, 52341004, 52338003, 57038001, 55583001, 53839001, 54755001, 57788002, 57788003, 52373009, 52373003, 57789002, 57264002, 52363003, 57264001, 52321003;
Gran Madre;205.008342925;20;61;45.062979999999996, 7.6985;52500004, 52419004, 52458003, 52446003, 52486003, 52441002, 52434002, 52457003, 53841001, 52459004, 52459003, 52414003, 56997001, 52374003, 52374004, 52409004, 52409003, 52437002, 52465003, 52448003;
Giulia di Barolo;225.816160128;24;59;45.067405, 7.6968;52374003, 52374004, 55580001, 52409004, 52409003, 52437002, 52392003, 52465003, 52448003, 52427003, 53715002, 52347004, 52427002, 57882002, 57882001, 53715001, 52428002, 52395004, 54754001, 52385003, 52385004, 52476002, 52395003, 54756001;
San Francesco da Paola;224.181502509;14;130;45.068605, 7.689080000000001;52295005, 52298003, 57881001, 57369001, 56978001, 52313007, 52320003, 52313005, 52313006, 57368001, 54753001, 52287003, 52254004, 54564003;
CORSO ORBASSANO;259.194511824;6;-6;45.03454, 7.62073;50881011, 50861016, 50865010, 50863014, 50803014, 50803015;
Castello 1;265.516738337;10;23;45.07142, 7.688095;52287003, 52254004, 52254003, 54564003, 52341004, 52338003, 52238003, 55583001, 53839001, 55582001;
VIALE DEI PARTIGIANI, VIA DENINA, LUNGODORA SIENA;222.377328707;17;-2;45.074940000000005, 7.68756;55583001, 52263003, 52321003, 55582001, 52321004, 52328001, 52324002, 52270004, 57837001, 57838001, 52267003, 52253003, 52276003, 52314006, 52314004, 52314003, 52293003;
Stati Uniti 1;207.317511475;13;139;45.064865000000005, 7.664785;51800005, 51800004, 51925004, 51912003, 51872007, 57880002, 57880003, 57880004, 57880001, 56662003, 51877004, 51877005, 51888005;
Universita`;163.79907817;5;148;45.06479, 7.58807;54665002, 50594021, 50594020, 54966001, 50574039;
